"1","Aaron Copland & London Symphony Orchestra","A Copland Celebration. Vol I","3.06248188","3.30106666"
"2","Aaron Goldberg","End of the World","4.09319686","4.44893333"
"349","Abnominal","The Best Of The 6th Century","5","5"
"3","AC/DC","For Those About To Rock We Salute You","74.64448356","40.00691666"
"4","AC/DC","Let There Be Rock 'n Roll","76.52189636","40.88765"
"5","Academy of St Martin in the Fields & Sir Neville Marriner","The World of Classical Favourites","7.40156555","7.75335"
"6","Academy of St Martin in the Fields Chamber Ensemble & Sir Neville Marriner","Sir Neville Marriner: A Celebration","5.49328708","5.81618333"
"7","Academy of St Martin in the Fields. John Birch. Sir Neville Marriner & Sylvia McNair","Faur: Requiem. Ravel: Pavane & Others","4.11496162","4.3154"
"8","Academy of St Martin in the Fields. Sir Neville Marriner & Thurston Dart","Bach: Orchestral Suites Nos 1 - 4","3.66894149","3.76555"
"9","Accept","Balls to the Wall","5.25514984","5.70936666"
"10","Accept","Restless and Wild","13.93632316","14.30146666"
"11","Adrian Leaper & Doreen de Feis","Górecki: Symphony No 3","8.84353923","9.45823333"
"12","Aerosmith","Big Ones","146.38221073","79.38583333"
"13","Aisha Duo","Quiet Songs","8.4239006","9.23146666"
"14","Alanis Morissette","Jagged Little Pill","107.90859127","57.51541666"
"15","Alberto Turco & Nova Schola Gregoriana","Adorate Deum: Gregorian Chant from the Proper of the Mass","3.9325056","4.08861666"
"16","Alice In Chains","Facelift","100.63855171","54.15608333"
"17","Amy Winehouse","Back to Black","39.04047298","42.40083333"
"18","Amy Winehouse","Frank","47.3498001","50.59678333"
"19","Anne-Sophie Mutter. Herbert Von Karajan & Wiener Philharmoniker","Vivaldi: The Four Seasons","3.19272041","3.3181"
"22","Antal Doráti & London Symphony Orchestra","Tchaikovsky: 1812 Festival Overture. Op49. Capriccio Italien & Beethoven: Wellington's Victory","6.6425333","6.86666666"
"20","Antnio Carlos Jobim","Chill: Brazil (Disc 2)","133.57528972","70.35765"
"21","Antnio Carlos Jobim","Warner 25 Anos","90.29662036","48.44876666"
"23","Apocalyptica","Plays Metallica By Four Cellos","83.36319446","44.52345"
"24","Aquaman","Aquaman","469.84682273","41.40945"
"25","Audioslave","Audioslave","89.9357624","65.46188333"
"26","Audioslave","Out Of Exile","99.96602916","53.73728333"
"27","Audioslave","Revelations","108.16940307","58.39396666"
"28","BackBeat","BackBeat Soundtrack","24.29880809","26.9287"
"29","Barry Wordsworth & BBC Concert Orchestra","The Last Night of the Proms","3.93362712","4.16718333"
"30","Battlestar Galactica","Battlestar Galactica. Season 3","9593.88402462","879.78401666"
"31","Battlestar Galactica","Battlestar Galactica: The Story So Far","468.01604557","43.70416666"
"32","Battlestar Galactica (Classic)","Battlestar Galactica (Classic). Season 1","12276.28884315","1170.22973333"
"33","Berliner Philharmoniker & Hans Rosbaud","Sibelius: Finlandia","5.63474178","6.76666666"
"34","Berliner Philharmoniker & Herbert Von Karajan","Grieg: Peer Gynt Suites & Sibelius: Pelléas et Mélisande","4.09962558","4.2237"
"35","Berliner Philharmoniker & Herbert Von Karajan","Mozart: Symphonies Nos 40 & 41","5.88728809","6.04888333"
"36","Berliner Philharmoniker & Herbert Von Karajan","Prokofiev: Symphony No5 & Stravinksy: Le Sacre Du Printemps","3.88355731","3.91243333"
"37","Berliner Philharmoniker. Claudio Abbado & Sabine Meyer","Mozart: Wind Concertos","6.17502212","6.5747"
"38","Billy Cobham","The Best Of Billy Cobham","84.44021034","44.6754"
"39","Black Label Society","Alcohol Fueled Brewtality Live! [Disc 1]","126.88417053","67.66531666"
"40","Black Label Society","Alcohol Fueled Brewtality Live! [Disc 2]","45.50071239","24.12925"
"41","Black Sabbath","Black Sabbath","71.489748","38.24668333"
"42","Black Sabbath","Black Sabbath Vol 4 (Remaster)","80.54281234","43.36535"
"43","Body Count","Body Count","99.90316581","53.20648333"
"44","Boston Symphony Orchestra & Seiji Ozawa","Carmina Burana","2.50844287","2.61183333"
"45","Britten Sinfonia. Ivor Bolton & Lesley Garrett","A Soprano Inspired","5.34596252","5.63738333"
"46","Bruce Dickinson","Chemical Wedding","115.10264778","61.56703333"
"47","Buddy Guy","The Best Of Buddy Guy - The Millenium Collection","82.48093986","43.94748333"
"48","C Monteverdi. Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu","Monteverdi: L'Orfeo","1.13397789","1.11065"
"49","Caetano Veloso","Prenda Minha","120.47100257","63.65636666"
"50","Caetano Veloso","Sozinho Remix Ao Vivo","30.41478443","15.99518333"
"51","Cake","Cake: B-Sides and Rarities","7.67934226","3.90021666"
"52","Calexico","Carried to Dust (Bonus Track Version)","3.47594547","3.58976666"
"53","Charles Dutoit & L'Orchestre Symphonique de Montréal","The Ultimate Relexation Album","6.15930652","6.4251"
"54","Chicago Symphony Chorus. Chicago Symphony Orchestra & Sir Georg Solti","Great Opera Choruses","4.29018306","4.57506666"
"55","Chicago Symphony Orchestra & Fritz Reiner","Scheherazade","8.5032587","9.08671666"
"56","Chico Buarque","Minha Historia","249.12626361","131.26071666"
"57","Chico Science & Naç Zumbi","Afrociberdelia","134.66105937","70.64626666"
"58","Chico Science & Naç Zumbi","Da Lama Ao Caos","96.37683773","50.27778333"
"59","Choir Of Westminster Abbey & Simon Preston","Palestrina: Missa Papae Marcelli & Allegri: Miserere","4.04753589","4.0111"
"60","Chor der Wiener Staatsoper. Herbert Von Karajan & Wiener Philharmoniker","Bizet: Carmen Highlights","2.08759498","2.21553333"
"61","Chris Cornell","Carry On","51.51732921","54.87331666"
"62","Christopher O'Riley","SCRIABIN: Vers la flamme","3.64259243","1.68821666"
"63","Cidade Negra","Acústico MTV [Live]","125.05067062","65.6878"
"64","Cidade Negra","Cidade Negra - Hits","109.42385005","57.25071666"
"65","Cláudio Zoli","Na Pista","81.11341953","42.66223333"
"66","Creedence Clearwater Revival","Chronicle. Vol 1","128.32362461","68.11151666"
"67","Creedence Clearwater Revival","Chronicle. Vol 2","141.06804752","74.99696666"
"68","Cássia Eller","Cássia Eller - ColeçÃo Sem Limite [Disc 2]","107.1868267","56.5872"
"69","Cássia Eller","Cássia Eller - Sem Limite [Disc 1]","109.98304462","58.06445"
"70","David Coverdale","Into The Light","112.82672977","60.30445"
"71","Deep Purple","Come Taste The Band","69.84127044","37.2832"
"72","Deep Purple","Deep Purple In Rock","78.67773437","42.2626"
"73","Deep Purple","Fireball","73.76622962","39.32945"
"74","Deep Purple","Knocking at Your Back Door: The Best Of Deep Purple in the 80's","120.66329288","64.60118333"
"75","Deep Purple","Machine Head","70.45452117","37.64325"
"76","Deep Purple","MK III The Final Concerts [Disc 1]","108.29045009","58.07711666"
"77","Deep Purple","Purpendicular","117.11791801","62.487"
"78","Deep Purple","Slaves And Masters","87.40332794","46.91671666"
"79","Deep Purple","Stormbringer","68.52982139","36.61795"
"80","Deep Purple","The Battle Rages On","93.64264106","50.30215"
"81","Deep Purple","The Final Concerts (Disc 2)","116.1349554","62.1396"
"82","Def Leppard","Vault: Def Leppard's Greatest Hits","136.94795799","73.35128333"
"83","Dennis Chambers","Outbreak","108.60996913","57.347"
"84","Djavan","Djavan Ao Vivo - Vol 02","113.67798709","60.44593333"
"85","Djavan","Djavan Ao Vivo - Vol 1","115.10088348","60.9701"
"86","Dread Zeppelin","Un-Led-Ed","4.88907146","5.17956666"
"87","Ed Motta","The Best of Ed Motta","107.16452026","56.8284"
"88","Edo de Waart & San Francisco Symphony","Adams. John: The Chairman Dances","4.11119079","4.24883333"
"89","Elis Regina","Elis Regina-Minha Historia","96.53506374","51.59866666"
"90","Emanuel Ax. Eugene Ormandy & Philadelphia Orchestra","Chopin: Piano Concertos Nos 1 & 2","8.73573493","9.33903333"
"91","Emerson String Quartet","Schubert: The Late String Quartets & String Quintet (3 CD's)","2.17736339","2.32"
"92","English Concert & Trevor Pinnock","Handel: Music for the Royal Fireworks (Original Version 1749)","2.09210777","2"
"93","English Concert & Trevor Pinnock","Pachelbel: Canon & Gigue","4.23278141","4.5298"
"94","Equale Brass Ensemble. John Eliot Gardiner & Munich Monteverdi Orchestra and Choir","Purcell: Music for the Queen Mary","2.25632667","2.36801666"
"95","Eric Clapton","The Cream Of Clapton","137.41318988","72.8867"
"96","Eric Clapton","Unplugged","256.83983135","135.22126666"
"97","Eugene Ormandy","Holst: The Planets. Op 32 & Vaughan Williams: Fantasies","8.1518898","8.70165"
"98","Eugene Ormandy","Respighi:Pines of Rome","4.50034141","4.77901666"
"99","Eugene Ormandy","Strauss: Waltzes","8.21135044","8.77826666"
"100","Faith No More","Album Of The Year","80.75734615","43.11066666"
"101","Faith No More","Angel Dust","115.77519893","61.82865"
"102","Faith No More","King For A Day Fool For A Lifetime","112.73618412","59.82985"
"103","Faith No More","The Real Thing","104.05697631","55.42913333"
"104","Falamansa","Deixa Entrar","90.16418838","47.37426666"
"105","Felix Schmidt. London Symphony Orchestra & Rafael Frühbeck de Burgos","Elgar: Cello Concerto & Vaughan Williams: Fantasias","7.5011053","8.05221666"
"106","Foo Fighters","In Your Honor [Disc 1]","74.82334518","40.15491666"
"107","Foo Fighters","In Your Honor [Disc 2]","81.58847427","43.27263333"
"108","Foo Fighters","One By One","102.78016757","55.06036666"
"109","Foo Fighters","The Colour And The Shape","87.63350296","46.9215"
"110","Frank Sinatra","My Way: The Best Of Frank Sinatra [Disc 1]","141.0030632","75.66568333"
"111","Frank Zappa & Captain Beefheart","Bongo Fury","76.76656723","41.09881666"
"112","Fretwork","Armada: Music from the Courts of England and Spain","4.01639461","4.22135"
"113","Funk Como Le Gusta","Roda De Funk","131.58817672","69.43073333"
"115","Gene Krupa","Up An' Atom","144.37325382","77.28351666"
"116","Gerald Moore","Great Recordings of the Century - Shubert: Schwanengesang. 4 Lieder","4.10834026","4.36415"
"117","Gilberto Gil","As Cançes de Eu Tu Eles","91.78676319","48.10393333"
"118","Gilberto Gil","Quanta Gente Veio Ver (Live)","124.86612224","65.2851"
"119","Gilberto Gil","Quanta Gente Veio vernus","29.30862903","15.26506666"
"120","Godsmack","Faceless","88.80637454","47.43563333"
"121","Gonzaguinha","Meus Momentos","92.44102096","48.9242"
"114","Goteborgs Symfoniker & Neeme Järvi","Nielsen: The Six Symphonies","4.61081027","4.7833"
"122","Green Day","American Idiot","106.84081459","57.29816666"
"123","Green Day","International Superhits","114.23877716","60.75848333"
"124","Guns N' Roses","Appetite for Destruction","51.14142227","53.84976666"
"125","Guns N' Roses","Use Your Illusion I","73.92532062","76.1222"
"126","Guns N' Roses","Use Your Illusion II","142.03498649","75.95351666"
"127","Gustav Mahler","Great Recordings of the Century - Mahler: Das Lied von der Erde","3.52879142","3.72638333"
"128","Habib Koité and Bamada","Muso Ko","9.03253364","9.77403333"
"129","Herbert Von Karajan. Mirella Freni & Wiener Philharmoniker","Puccini: Madama Butterfly - Highlights","4.37564563","4.62731666"
"130","Heroes","Heroes. Season 1","11235.54382991","996.3378"
"131","Hilary Hahn. Jeffrey Kahane. Los Angeles Chamber Orchestra & Margaret Batjer","Bach: Violin Concertos","3.04497718","3.2287"
"132","House Of Pain","House of Pain","124.74596786","54.48433333"
"133","Incognito","Blue Moods","140.12362384","73.68871666"
"134","Iron Maiden","A Matter of Life and Death","75.57183647","79.25398333"
"135","Iron Maiden","A Real Dead One","54.76010799","59.78636666"
"136","Iron Maiden","A Real Live One","54.00411796","58.96656666"
"137","Iron Maiden","Brave New World","153.43676757","67.031"
"138","Iron Maiden","Dance Of Death","155.80027866","68.05931666"
"139","Iron Maiden","Fear Of The Dark","134.22978019","58.63216666"
"140","Iron Maiden","Iron Maiden","56.02837848","40.7823"
"141","Iron Maiden","Killers","53.21018505","38.72818333"
"142","Iron Maiden","Live After Death","133.42660045","97.13093333"
"143","Iron Maiden","Live At Donington 1992 (Disc 1)","71.12417984","51.76023333"
"144","Iron Maiden","Live At Donington 1992 (Disc 2)","82.92901992","60.35628333"
"145","Iron Maiden","No Prayer For The Dying","40.4903059","44.20955"
"146","Iron Maiden","Piece Of Mind","42.02441787","45.8814"
"147","Iron Maiden","Powerslave","69.52514743","50.6052"
"148","Iron Maiden","Rock In Rio [CD1]","129.20634841","56.44313333"
"149","Iron Maiden","Rock In Rio [CD2]","136.76497936","59.74588333"
"150","Iron Maiden","Seventh Son of a Seventh Son","60.48584747","44.02975"
"151","Iron Maiden","Somewhere in Time","70.61758708","51.40631666"
"152","Iron Maiden","The Number of The Beast","39.53509044","40.23025"
"153","Iron Maiden","The X Factor","162.82194423","71.13001666"
"154","Iron Maiden","Virtual XI","121.88001155","53.24358333"
"155","Itzhak Perlman","Great Recordings of the Century: Paganini's 24 Caprices","4.16901874","4.42568333"
"156","James Brown","Sex Machine","132.95557975","70.18736666"
"157","James Levine","Mascagni: Cavalleria Rusticana","3.81591415","4.05726666"
"158","Jamiroquai","Emergency On Planet Earth","106.4334383","55.45351666"
"159","Jamiroquai","Synkronized","101.52372264","53.01106666"
"160","Jamiroquai","The Return Of The Space Cowboy","126.07893753","66.1254"
"161","JET","Get Born","90.83839035","48.66383333"
"162","Jimi Hendrix","Are You Experienced?","112.47822666","60.30093333"
"163","Jo Suplicy","Cafezinho","97.94358444","51.09538333"
"164","Joe Satriani","Surfing with the Alien (Remastered)","36.40478897","37.66206666"
"165","Jorge Ben","Jorge Ben Jor 25 Anos","144.5204153","76.18775"
"166","Jota Quest","Jota Quest-1995","95.66209125","50.27258333"
"167","Judas Priest","Living After Midnight","123.89553642","66.21851666"
"168","Julian Bream","JS Bach: Chaconne. Suite in E Minor. Partita in E Major & Prelude. Fugue and Allegro","4.52511692","4.76121666"
"169","Karsh Kale","Realize","10.83522891","11.55345"
"170","Kent Nagano and Orchestre de l'Opéra de Lyon","Weill: The Seven Deadly Sins","5.84520912","6.27516666"
"171","Kiss","Greatest Kiss","143.00044441","76.25041666"
"172","Kiss","Unplugged [Live]","106.73828315","56.75613333"
"173","Led Zeppelin","BBC Sessions [Disc 1] [Live]","139.44148826","74.832"
"174","Led Zeppelin","BBC Sessions [Disc 2] [Live]","144.91010761","78.31846666"
"175","Led Zeppelin","Coda","61.7633953","33.01871666"
"176","Led Zeppelin","Houses Of The Holy","76.43784618","40.90725"
"177","Led Zeppelin","In Through The Out Door","80.11684703","42.5913"
"178","Led Zeppelin","IV","79.71774578","42.62436666"
"179","Led Zeppelin","Led Zeppelin I","83.97358703","44.83998333"
"180","Led Zeppelin","Led Zeppelin II","78.35630989","41.64781666"
"181","Led Zeppelin","Led Zeppelin III","81.03013992","43.00315"
"182","Led Zeppelin","Physical Graffiti [Disc 1]","73.2897005","39.08088333"
"183","Led Zeppelin","Physical Graffiti [Disc 2]","81.57840347","43.65925"
"184","Led Zeppelin","Presence","83.55164718","44.47688333"
"185","Led Zeppelin","The Song Remains The Same (Disc 1)","91.17588424","49.06618333"
"186","Led Zeppelin","The Song Remains The Same (Disc 2)","94.6915903","50.62398333"
"187","Legi Urbana","A TempestadeTempestade Ou O Livro Dos Dias","126.65604209","67.04181666"
"188","Legi Urbana","Mais Do Mesmo","130.45695495","69.07245"
"189","Lenny Kravitz","Greatest Hits","472.47432804","251.09551666"
